,text,emotion,sentiment
4518,feel like fearful first threw leg top tube surgery,fear,negative
4519,always access feeling stressed usually time need silence,sadness,negative
4520,ive heard lot folks share frustrations feeling inadequate seeing many pictures perfection projects homes blogs pinterest etc,sadness,positive
4521,want feel playful open vulnerable great time,joy,positive
4522,feeling quite pleased something id never done,joy,positive
4523,canning tomatoes feeling nostalgic,love,negative
4524,feel embarrassed want others take pity much pride,sadness,positive
4525,feel like person ecstatic right,joy,positive
4526,feel longing obsession,love,neutral
4527,feel threatened anyone get feeling want kill someone,fear,neutral
4528,think whenever moved new place find way feel accepted,joy,positive
4529,feel like im doomed forever girl everyone sleeps one love,sadness,positive
4530,im feel terrific,joy,neutral
4531,feel super bad,joy,negative
4532,feel little bit vital,joy,negative
4533,picture feeling shy class signed,fear,negative
4534,never want feel pain struggle suffering,sadness,neutral
4535,cannot help feel inspired uplifted martinez association occupy wall street,joy,neutral
4536,im sure anyone else like especially im feeling low dont particularly want wear vintage clothing,sadness,positive
4537,trust plan stay true listen promptings heart feel assured everything okay worked plan,joy,positive
4538,feel excited familys future,joy,positive
4539,feeling reluctant players even finding library sage identify stuff,fear,neutral
4540,lost power feeling lethargic headachie tired mentally blah get picture,sadness,negative
4541,guess taboo feeling naughty bad dirty,love,negative
4542,feel slightly embarrassed keep telling trying make believe life actually enjoy let harder harder time,sadness,positive
4543,standing oversized tee shirt baggy yoga pants pulled hair already semi sweat streaked spin trying feel graceful sexy,joy,positive
4544,feel indecisive baker although room smallest double still seems big hate loud guys across hall,fear,negative
4545,feel like must defend beloved blue hehe,love,positive
4546,feel listless today aiiiiighhhht,sadness,neutral
4547,leave four weeks im starting feel little heartbroken thought,sadness,negative
4548,feel idiotic,sadness,negative
4549,expected monogamous feels like faithful someone someone else,love,negative
4550,id rather one know really feel sometimes compassionate sometimes beautiful,love,positive
4551,feel like breath rushed,anger,neutral
4552,feel really successful fact read series books summer actually counted challenge finishing six total series,joy,positive
4553,know like recommendation function modern web shops feels little bit strange see product searched web shop totally different site advertising,fear,negative
4554,feel like give shout delicious,joy,positive
4555,im feeling heart make list things thankful,joy,neutral
4556,feel way withdraw become irritable,anger,neutral
4557,feel honored take part upcoming sight amp sound greatest film poll,joy,positive
4558,feel like trying guy hangs curious george,surprise,negative
4559,feel dirty loving comments,sadness,neutral
4560,feel product deserves positive review want leave somewhat contradictory final thought,joy,positive
4561,vow gasp nicer everyone select marybeth isabella lol say feel cover something sweet something shitty,love,positive
4562,feel overwhelmed stressed pressured inside something magical happens take shoes go walk park beach,fear,positive
4563,feel people utterly useless view,sadness,negative
4564,feeling rebellious start end instead beginning good place start,anger,positive
4565,need open friends feel wronged,anger,neutral
4566,coming lengthy illness feeling lousy groundless indecisive without direction,sadness,negative
4567,feel gloomy get really bad cabin fever,sadness,negative
4568,feel like dlk could make pretty sweet full length,joy,positive
4569,wish didnt butttt semuanya sudah terlambat dan feel stupid everytime think think every time means feel stupid everytime,sadness,negative
4570,didnt feel stupid still little bit ignorant compared native african healers using century,sadness,negative
4571,feel like im one whos caring whats good right,love,positive
4572,feeling little lost without,sadness,negative
4573,still feel ashamed treated,sadness,neutral
4574,totally passed one first appeared xbla sony handheld feels like pretty perfect fit,joy,positive
4575,elders understand right way,sadness,positive
4576,sat listening wind blow trees feeling calm finally ready come,joy,positive
4577,woke feeling shaky nauseous lots cramping pressure abdomen pelvis,fear,negative
4578,feel like gave lot valuable information ways improve skin present maintain improve future,joy,neutral
4579,discovered gave great feeling satisfaction produce blog post delicious dish photos written recipe tangible job completed feeling rare life stay home mom,joy,positive
4580,feel like acts bitchy complainy try fit doesnt make sense part bitchy complainy,anger,positive
4581,wound feeling pleased tightly paced film,joy,positive
4582,still feel like missed critical part soap,sadness,neutral
4583,wonder ever feel pain sadness always seem lively,joy,positive
4584,know still feel kind agitated also switch feeling hot feeling cold lay,anger,positive
4585,feel politics shocked going realm though think time important considering everything going world stage usa,surprise,negative
4586,feel reality tragic,sadness,negative
4587,breaking skin feels like pleasant,joy,positive
4588,feel bitchy mean terrible,anger,negative
4589,feel better menu tonight,joy,positive
4590,havent really talked anyone depth feel like im whiney repetetive needy,sadness,positive
4591,forgive accepting allowing feel uncertain application within reveal feel uncertain within,fear,neutral
4592,feeling foolish taking lb e,sadness,neutral
4593,feeling blank space right testicle area think right testicle size decrease urinate system semen,sadness,positive
4594,feel like fucked massively able fight suicidal,anger,negative
4595,want change feel like im discouraged im living comfortably,sadness,positive
4596,feel bitter lot wish mother son place,anger,negative
4597,feel like ive given relationships forever im hardly ever successful maintaining friendships theres pressure settling age,joy,positive
4598,feel eager please,joy,neutral
4599,feeling terribly mellow today sitting bed looking window red orange green brown trees outside window listening norah jones reading stuff,joy,negative
4600,feel little agitated right,anger,positive
4601,ive got books feel reluctant sell,fear,neutral
4602,often find feeling assaulted multitude sense impressions,fear,neutral
4603,oil rich omega reverses look feel damaged hair weightlessly restores bounce full flowing styles,sadness,positive
4604,way ahead raphael laiya jennifer stayed behind watch stuff since feeling particularly energetic scampering mountain,joy,positive
4605,met great people feeling may unintentionally offended,anger,positive
4606,mean could literally feel feeling content,joy,negative
4607,cant decide feel supporting roles particularly girlfriend alfred molina quite funny one dimensional caricatures legitimate characters simply overshadowed fantastic lead,love,positive
4608,feel times life losses joy becomes empty feelings exhaustion take positive side,sadness,positive
4609,im also worried youre feeling little lost middle days like youre getting enough attention us,sadness,negative
4610,feel jubilant elation,joy,neutral
4611,feel like creative home truly painting making music,joy,positive
4612,im feeling stressed,anger,neutral
4613,feel bit embarrassed times make mistakes,sadness,neutral
4614,spent today feeling horribly unhappy,sadness,negative
4615,feel media cannot resolved effectively,joy,positive
4616,convince write feel like im exposing lousy im trying,sadness,negative
4617,come whenever feel alone,sadness,neutral
4618,ill feel lively,joy,negative
4619,still feel homesick yes,sadness,neutral
4620,sat feeling empty lost scared,sadness,negative
4621,feel though divine intervention behalf,joy,neutral
4622,feel incredibly disillusioned weekend,sadness,positive
4623,know women feel way felt unimportant int church almost dare say second class citizen im trying bash church think women thirsty knowlege reinforce place importance world,sadness,negative
4624,made day less sums feel delusion life past years became somewhat frightened decided get little distance guy,fear,negative
4625,im fully feeling emotional level,sadness,neutral
4626,walked away feeling inspired excited realistic things could increase blog chances found,joy,positive
4627,invest friendships feel hurt perceive investment returned,sadness,neutral
4628,im feeling bit wanderlust since im go away holiday days beloved g,love,positive
4629,often play role loquacious hunters always feel superior others long beautiful really flower plug cow dung marry though like big grievance,joy,positive
4630,wish comforting feeling instead feels strange like living memories someone else maybe woken long dream long sleep years finding trees around grown taller,surprise,negative
4631,think personally comes investing feel like would fall investment category getting greedy think id invest bombing market like coca cola,anger,neutral
4632,still lot paint warhound enough model put together would feel embarrassed fieldi,sadness,neutral
4633,know tv isnt everyones cup tea includes feel free scroll bit,joy,positive
4634,admiring envying figures twentysomething set ahead class feeling ugly jealous,sadness,negative
4635,heard song radio yesterday made feel amazed lyrics,surprise,neutral
4636,feel tortured every moment theres nowhere go get away get back used,anger,neutral
4637,im feeling insecure financially right dont want spend,fear,negative
4638,tend shower days feel slightly rebellious getting stinky nothing,anger,negative
4639,im feeling deprived although wake ravenous morning,sadness,neutral
4640,im left feeling nostalgic lonely,love,negative
4641,feel foolish thinking would work,sadness,neutral
4642,wonder would feel someone screaming saying horribly rude things behind back later,anger,negative
4643,feel good project,joy,positive
4644,feeling pleased manuscript reporting results fellowship research annoyed ridiculous requirements,joy,negative
4645,feel afraid hold tighter faith live one day make rain,fear,negative
4646,feel people around understand acceptance might need grieve suffer loss mother grief never loving relationship expressed ways would want,love,negative
4647,repeat feel become less afraid,fear,negative
4648,feeling even line jesse might make hike finish amazing project,surprise,positive
4649,feel like worthless good anyone even tought try try hard,sadness,negative
4650,taken sentimental feelings characters distressed destinies,fear,negative
4651,feel little jaded banking crisis vote labour hope best,sadness,positive
4652,feel soul mine calling beloved,joy,positive
4653,feel discouraged lonely stressed,sadness,negative
4654,even feel welcomed fold,joy,neutral
4655,decided let feeling demotivate enthusiasm diwali special recipe,joy,positive
4656,feel like im weird stage,surprise,negative
4657,feel cheated wronged let spurned vine tended nursed could,anger,neutral
4658,feeling really sad,sadness,negative
4659,could really screwed waiting sitter feeling stressed,anger,positive
4660,feel strategy worthwhile,joy,positive
4661,feel insulted show opportunity finger door presented prize two weeks italy,anger,neutral
4662,try hang feel like awkward third wheel,sadness,negative
4663,used feel devastated someone criticized,sadness,neutral
4664,want feel energetic rested,joy,positive
4665,cannot seem shake feeling completely numb,sadness,negative
4666,sleep dreamy state waking feeling dazed every yet cyber slut craves creep every evening,surprise,negative
4667,almost feel delicate heart breaking,love,negative
4668,feel like im presenting less hostile manner dragged event gathering full stupid fake people,anger,negative
4669,almost feel damaged,sadness,neutral
4670,feel less less feeling fear afraid scared,fear,negative
4671,im feeling better expected,joy,positive
4672,feel like roller coaster craziness keep mind throne precious lady anything keep way even means killing people around,joy,positive
4673,like home feels unwelcome fact despise,sadness,neutral
4674,moving feel sorry thought amazing boy ever,sadness,positive
4675,telling feeling bit homesick,sadness,neutral
4676,feel hopeful coming year,joy,neutral
4677,feel honoured clients walk doors sometimes first time trust brand new one week old bundles joy,joy,positive
4678,feel like punished going school,sadness,neutral
4679,im feeling shades foolish,sadness,neutral
4680,denied feelings amp claimed less cause hesitant jump anything new,fear,negative
4681,im feeling agitated today,fear,neutral
4682,feel like hes scared good thing sabotaging right maybe give space hell come back feel like hes much space still doesnt feel like enough,fear,positive
4683,feel deprived since know nothing first battle bedriacum,sadness,positive
4684,feel frustrated cant tell,anger,negative
4685,said felt needed said addition feeling bitchy,anger,neutral
4686,feeling bit lonely poor henrietta shop long ariel right chelmsford waiting,sadness,negative
4687,feel extremely mind fucked,anger,negative
4688,feel numb like life living past week unreal,sadness,negative
4689,feel listless cant anything,sadness,neutral
4690,kept strong feeling moving something stayed punished stepping,sadness,positive
4691,bit depressed really feeling defeated,sadness,positive
4692,strange feeling going turn quite ok soon enough ladies pictured probably begging brew stuff,joy,positive
4693,stopped writing people stopped noticing feel like ignored write feel write people want noticeable,sadness,neutral
4694,could picture homely feel also smell books would totally amazing,surprise,positive
4695,love smell makes feel invigorated fresh happy,joy,positive
4696,could ingrain mind feelings experiences reading hated everything happened next book could go back first pretend nothing ever happened past,anger,negative
4697,wont complain much though cool place im feeling nowhere near hot lately,love,positive
4698,started sprint even consciously thought foot even register brain feeling hurt,sadness,positive
4699,know makes feel outraged,anger,negative
4700,feel slightly offended,anger,negative
4701,feel peaceful best nature,joy,positive
4702,feeling pretty well mid october,joy,positive
4703,feel disgusted woman undoubtedly banking incident one handed pictures political pundits known would use nice ways,anger,negative
4704,feeling jeremy going keen vinegary smell calli giving right,joy,positive
4705,feel kind lame time around,sadness,positive
4706,feeling offended line questioning almost walked stuck around reason,anger,neutral
4707,feel bad photo justice,sadness,negative
4708,perform submarine cartwheel feel violent tug ankle board gets hauled towards beach,anger,negative
4709,ive never thought would feel guilty trying protect someones feelings,sadness,negative
4710,feel less aggravated upset today think realized worth proved wasted time effort pointless stupid fine knowing im uneffected time least,anger,negative
4711,feeling strong ability step mind,joy,positive
4712,feel funny seems want good guy image although keep saying wanna go clubbing ended even go,surprise,positive
4713,feeling pretty impressed potential new boss,surprise,positive
4714,im destashing couple cuts fabric id bought make clothing sat around feeling unloved,sadness,neutral
4715,feeling crappy going hill entire week,sadness,neutral
4716,feel reluctant talking death,fear,neutral
4717,first day visited hospital disgusted experienced offensive smell never expected nearly ran away course,anger,positive
4718,try complain show attacks feel helpless like parent would,fear,neutral
4719,feel good inside see people walking away handmade pieces,joy,positive
4720,feel bit relieved,joy,neutral
4721,quite regular reader blog time read experience feel greatness kindness beloved father sai,joy,positive
4722,feeling terrific implementing alternative medicine maintain health,joy,neutral
4723,ask feeling adventurous wants see one since already booked friday saturday nights already know church stuff sundays,joy,positive
4724,feel curious know think procedure worked well,surprise,negative
4725,feel many people need worry families children self time precious,joy,positive
4726,id done though kind found sympathizing demons church called feeling disgusted people supposed trying fight,anger,negative
4727,ive meeting many people since semester tonight cinderalla couldnt help feeling sorrowful,sadness,positive
4728,car prizecompetition moment informed,joy,neutral
4729,feel overwhelmed heart beats hard going fast husband calls see crack,fear,negative
4730,feel popular dont want taught wont get married get baptized cant obviously,joy,positive
4731,know said would get guys next week however feeling pretty generous ill give guys scoop right,joy,positive
4732,feel coming im determined see,joy,neutral
4733,feel parents republicans shall overload stories feeling need society blamed outcome,sadness,neutral
4734,im feeling uncomfortable isnt helping im sure,fear,neutral
4735,feeling melancholy,sadness,neutral
4736,father passed away left alone mother sick go live aunt,sadness,negative
4737,feel welcomed cared ready pleased,joy,positive
4738,im feeling pretty comfortable,joy,positive
4739,feeling kind resentful since april,anger,positive
4740,always feel way moods still unpleasant,sadness,negative
4741,im feeling virtuous spinach feta cranberry salad balsamic viniagrette,joy,neutral
4742,want feel eager attend amp want feel like belong,joy,neutral
4743,feel petty mean unemotional im,anger,negative
4744,feel special many people prayed hard,joy,positive
4745,feel like people dont really want company also dont want hurt feelings,sadness,positive
4746,thankful job feeling blessed everyday,joy,negative
4747,believed true love feel devastated wanted settle whole marriage kids thing,sadness,positive
4748,feel strong urge stop work trip,joy,positive
4749,feel oddly nostalgic early days still figuring things,love,negative
4750,aint pissed angry mad anything feel pretty much fuckin insulted,anger,negative
4751,feel like maybe yoga class later long hot soak tub beautiful perfumed bath salts,love,positive
4752,feel burdened figuratively literally,sadness,neutral
4753,feeling called show faithful way,love,neutral
4754,still working guilt feeling selfish self preservation without justification must survive bring babies,anger,negative
4755,know beginning im already feeling fucked,anger,negative
4756,often feel resentful anything seems good,anger,positive
4757,sing feel weird,fear,negative
4758,feeling ridiculously uncomfortable days rising temperatures dont help added wicked heartburn list things keeping night,fear,negative
4759,feel presence beloved behind tilt neck side smiling feel lips shoulder,love,positive
4760,already feeling like less productive,joy,negative
4761,even mentioned show want trust feelings hoping would think rude mean coercive pushy,anger,negative
4762,get bed look mirror feel brave,joy,positive
4763,woman notice send one way even days feel discouraged,sadness,neutral
4764,feel content sending packet packet world,joy,neutral
4765,feeling drained even sat chair,sadness,neutral
4766,back home feeling irritable since ive looking forward party week,anger,neutral
4767,think back jesus many miracles feels like takes case individually heals way loving helpful,love,positive
4768,feel pathetic report know much korean three months italian three week vacation italy,sadness,negative
4769,feel like damaged goods deserves better,sadness,positive
4770,feel rejected someone needs sleep,sadness,neutral
4771,ive felt even centered pleased w things going w feeling complacent,joy,positive
4772,feel loving,love,positive
4773,know alone say often feel rushed,anger,neutral
4774,feel many readers amazed many ways whitley family influenced hollywood continues influence today,surprise,positive
4775,know isnt real feels strange times,surprise,positive
4776,choose sleek smoother feel sweet revenge made drawing handling blaster bit nicer,love,positive
4777,ive finished feel foolish put expectations story began reading,sadness,neutral
4778,miss time husband feeling rushed get back home relieve caregiver,anger,neutral
4779,felt humiliated belittled keyed trigger points made feel stupid inarticulate laughable flattened something passionate knowledgeable see place world,sadness,negative
4780,feel important enough live worthy enough struggle longer one miss even care gone,joy,positive
4781,feel lethargic sluggish absolutely notice night harder fall asleep,sadness,positive
4782,literally text tychelle see wants hang reading wrote nonexistent social life made feel pathetic,sadness,negative
4783,im feeling bit dull today href http thepage,sadness,negative
4784,feel like always beaten sort evil people,sadness,negative
4785,feel need generous offerings especially hunting fishing,love,neutral
4786,feel like proud mother watching child grow develop adult quite seriously business like child,joy,positive
4787,mention feel ignored sad crappy birthdays reminds threw th birthday party,sadness,negative
4788,feel rushed trying get everything together late night,anger,negative
4789,feel entertainers talented williams become part lives,joy,positive
4790,want natasha gan dress cos wear feel fab want blue suede boots colour ocean want want want need none stop going chadstone tonite tomorrow,joy,neutral
4791,convinced encouraged obedient commandments god done compassion love caring church family members leave us feeling abused trapped hopeless strengthened hopeful cherished god church,sadness,positive
4792,motivated tired guilt making feel worthless,sadness,negative
4793,also realized may feel fabulous days today proof im still right listeners,joy,positive
4794,saw starving people ethiopia tv felt awful see suffering,anger,negative
4795,really dont like attention feel pressured think topic talk,fear,positive
4796,begun feel like teaching metier resigned fact likely wont teach university ever,sadness,neutral
4797,feel hot moms,love,positive
4798,didnt want hurt feelings fond avoiding conflict situations arise,love,neutral
4799,currently feeling aggravated,anger,neutral
4800,id feel triumphant something,joy,neutral
4801,im totally digging band business last little feel like ive totally socially emotionally neglectful lot shit world,sadness,negative
4802,feel funny thinking,surprise,positive
4803,feel like admit always little bit weird little bit quirky taking seriously,surprise,negative
4804,feel like greedy person liking two people,anger,neutral
4805,im feeling doodly playful artistic hungry puzzled trendy stellar wonderful,joy,positive
4806,feel accepted long real pious uppity religious sake religion,joy,negative
4807,feel curious one think might fall love uncle montagues tales terror,surprise,positive
4808,know right feel like still th grade trying useful little legs let,joy,positive
4809,really enjoy weekend feel naughty still getting results really nice treat,love,positive
4810,child stole rmb grandfather maternal feel exceptionally wronged,anger,positive
4811,feeling quite smug,joy,neutral
4812,ive borne witness suffering innocent children hands violent feel helpless trying make things better,sadness,positive
4813,im feeling really hateful disgruntled job sure hope dont lose late,anger,positive
4814,kept waking feeling glad dream would fall back asleep dream continuing,joy,positive
4815,cant help feel aside like dick hobbs rebecca mcpherson im exactly popular guy school,joy,positive
4816,mean feel bgr treasured dumped like people know going steady find dumped dump,love,negative
4817,im feeling like casual dylan fans,joy,negative
4818,feel drained totally exhausted today,sadness,negative
4819,im currently phase feeling positive optimistic graduation though tends range daily basis euphoria deep deep depression bets ill feel tomorrow,joy,negative
4820,feeling inspired write parody piece today much bad mood,joy,negative
4821,love soft make hair feel gives hair lovely natural looking shine,love,positive
4822,think like feels lively dorama,joy,positive
4823,think im feeling sentimental right p aaaaand tis another work day tomorrow,sadness,positive
4824,feeling irritable grumpy today came home lunch took nap,anger,neutral
4825,ive feeling restless career,fear,neutral
4826,feel fine,joy,positive
4827,felt good feel fine today,joy,positive
4828,feel deeply truly content,joy,neutral
4829,feeling grumpy sore,anger,neutral
4830,think anyone feels curious masala movies light entertainers,surprise,positive
4831,love treadmill actually used actually feel intimidated running outside,fear,positive
4832,feeling particularly bitchy dont think adequately expressed appreciation,anger,positive
4833,feel terrified nervous normally would type situation,fear,positive
4834,feel assaulted new kid whined,fear,positive
4835,think feeling dissatisfied life,anger,neutral
4836,guess whole need hobby thing feel worthwhile smart important,joy,positive
4837,feel outraged life easy blessed,anger,negative
4838,posed cutesy vintage ways time feeling absolutely freaking fabulous,joy,positive
4839,feel show success glad decided pg live may better get planning,joy,positive
4840,feel glamorous shared,joy,neutral
4841,going around feeling like roundly abused poor tongue ravaged hops become think challenge think taste really physical sensation,sadness,negative
4842,also hate feeling aggravated dont know supposed eat feel way often sound way,anger,negative
4843,actually tell breathe breathe breathe feel absolutely terrified know go home life missed anymore,fear,positive
4844,feel ecstatic longer belong school,joy,neutral
4845,feel quietly ecstatic painless change grocery expense,joy,neutral
4846,feeling incredibly blessed life given people god put,joy,positive
4847,know feel im sorry,sadness,negative
4848,feel lucky live warm home three people love,joy,positive
4849,feel like watching show movie kids bed make sure hop elliptical spin bike least minutes show settle stretch night,joy,positive
4850,went feel shaky,fear,negative
4851,feel horrible someone somewhere theyve felt bad worse,sadness,negative
4852,feel invigorated full ambition,joy,positive
4853,feel kick move know ok,joy,positive
4854,feel petty things extent humans seem feel wars started stupid little things try might cannot understand things loving two people feeling jealous lead murder unhappiness,anger,negative
4855,didnt feel surprised didnt feel upset didnt feel angry didnt feel anything,surprise,negative
4856,feel love thank pagetitle popular news abc news u,joy,positive
4857,typically respond feel offended,anger,negative
4858,remember feeling surprised stunned writer stature quality lauren read one books long ago,surprise,positive
4859,im clocking scale feel terrible,sadness,negative
4860,grateful every one still made feel funny,surprise,positive
4861,feel even empty,sadness,negative
4862,also feel ungrateful hearing stories grandma people knew hospitals nursing homes one talk simple small talk huge step,sadness,positive
4863,feel privileged amongst new culture learn new things,joy,positive
4864,even attempting plan perfect week wont happen need make plan atleast get without feeling deprived mad,sadness,positive
4865,know ive talked know eric talked thing happened mission like sometimes feel like get super overwhelmed stuff easy really hard mental game,joy,negative
4866,beside see smiling feel funny,surprise,positive
4867,strange feeling incredibly distressed,fear,positive
4868,im feeling sorry think miss jimmy nothing yet thankful everything,sadness,negative
4869,hadnt read blog guys feel thrilled know,joy,positive
4870,knows boy makes feel weird yuuki doesnt know tell,surprise,negative
4871,feel like regretful soul,sadness,neutral
4872,feel resigned lot life watch everyone else become parent,sadness,neutral
4873,view jesus human others feel weve encountered divine dont view superman,joy,neutral
4874,particularly much say works well particularly feel like something clever new,joy,positive
4875,feel least smart,joy,negative
4876,feel like thats cop safe people,joy,positive
4877,always get questions blocking classes topic feel pretty passionately knitter teacher,joy,positive
4878,meet date continue sources apathy worse people feel wronged whose confidence act bad faith,anger,negative
4879,really dont feel sociable bar anymore,joy,positive
4880,ive never huge holiday person definitely feel festive hopeful willing celebrate others joys,joy,positive
4881,feel like teetering edge hoarding insanity comes beloved clothing,love,positive
4882,feel like apothecary romeo juliet unfortunate comparison perhaps,sadness,negative
4883,feel pretty time,joy,positive
4884,feel honored shortlist congratulate wish nominees best tonights awards thank age scotland kindness div class intro style background color fff color font family trebuchet ms helvetica bitstream vera sans sans serif font size,joy,positive
4885,feel like ive become relaxed parent,joy,neutral
4886,feel bit deprived typical experience,sadness,negative
4887,worried feeling supposed church rich dr,joy,positive
4888,feel excited nervous little bit sad,joy,negative
4889,wonder feeling sentimental help agony writing report dues tomorrow,sadness,negative
4890,guess sucker grand endless battle apparent good apparent evil different anyone else feels divine gift discernment situations like,joy,negative
4891,feel sorry people affected,sadness,negative
4892,didnt feel real emotional connection much character driven story,sadness,positive
4893,feel like guilty sack shit,sadness,negative
4894,cant begin think would feel morose doesnt even begin cover,sadness,neutral
4895,sudden feeling missed opportunity could asked evening going,sadness,neutral
4896,swear made feel lot better,joy,positive
4897,shouldnt feel gloomy,sadness,neutral
4898,feel like love romantic comedies sort mixed tone woody allen work obviously jim brooks earl billy wilder films like apartment,love,positive
4899,woke morning feeling content despite yesterday day involved mundane paperwork government bureaucrats revel,joy,negative
4900,feel like could face day clung onto verse lord gracious compassionate started morning,love,neutral
4901,ive fallen asleep embracing person never book woke morning feeling kind awkward,sadness,neutral
4902,found make time quiet reflection even pause chaos feel god peace gentle comfort,love,positive
4903,feel strange actually sitting beside people know,surprise,negative
4904,feeling stubborn ridiculous possibly several colourful turns phrase children still asleep tip tongue settled heaving sigh turning leave,anger,negative
4905,feel like rather loyal readers followers ever look blog,love,positive
4906,fear people ask feelings reluctant talk things,fear,neutral
4907,feel dumb honest,sadness,positive
4908,uncomfortable feeling actually important lesson learn,joy,negative
4909,want feel anything want numb,sadness,negative
4910,aware level unrest feeling uncertain sit,fear,positive
4911,feel like weve living weird time warp like wednesday,fear,negative
4912,remember sitting family room dallas watching story unfold new york many years ago feeling helpless,fear,positive
4913,really feel stupid,sadness,negative
4914,must say wonderful feeling makes feel submissive,sadness,positive
4915,find feeling sentimental pretty much every day,sadness,positive
4916,never realized awful mother feeling lack energy independence operation wimpy tired,fear,negative
4917,feel sorry californians,sadness,negative
4918,felt good way really feel tension punished day,sadness,positive
4919,feel stumped something comes pen im always little amazed,surprise,negative
4920,know feels like legitemately liked someone somehow got feel way trust takes alot want life,love,positive
4921,feel study find indeed perfect example christian especially latter day saint,joy,positive
4922,doubt theres greater reluctance federal authorities employ tear gas plain force feel threatened,fear,positive
4923,read feel need read makes little grumpy,anger,negative
4924,grateful feel energy life within body feel pleasant vibration hands feet body head,joy,positive
4925,ill write soon cant wait hear everyone im feeling pretty homesick right,sadness,positive
4926,feel important thing someone makes comfortable thats,joy,positive
4927,feel safe beautiful appreciated,joy,positive
4928,feel like dust shaken still settled,fear,neutral
4929,think maybe strongly feels brad looks really distracted,anger,positive
4930,feel cluster fucked head,anger,negative
4931,enjoy making people love feel treasured loved special day,love,positive
4932,always feel profoundly worthwhile,joy,positive
4933,feel damage aching joints headaches backaches etc,sadness,neutral
4934,always feel unimportant much always wonder people remember birthday,sadness,negative
4935,used friend always always boyfriend didnt would get majorly depressed feel defective something think way mom always felt really bad,sadness,negative
4936,read ol feefyefo space feel amazed much could blabber transparent life,surprise,positive
4937,feel good defended sanctity span style webkit text size adjust auto webkit text stroke width px background color white color display inline,joy,positive
4938,keep wondering im hitting walls grief loss even im fun feeling excited enjoying wonderful friends pre summer time experiences,joy,positive
4939,want swept feet feel special rather told,joy,positive
4940,heard way parent friend mistreated,anger,neutral
4941,worry feeling resentful woman work,anger,neutral
4942,still feel like get walked well trying,joy,neutral
4943,feeling little grumpy thinking everything needs get done flipping around way well ready roll sleeves write lists get work,anger,positive
4944,thought type show feelings laughed convinced know happening beyond closed doors make conclusions,joy,positive
4945,feel getting agitated constant noise chatter,fear,neutral
4946,must bring perspective equation consider would feel went week without calling phoned find youd missed final opportunity talk parent,sadness,neutral
4947,find chasing needles feeling stressed entire process,sadness,neutral
4948,feel bad anything,sadness,negative
4949,feel like jaded cat whatever ever get nervous races done many care less,sadness,positive
4950,neither ask deserve feel frightened kook puts danger reason,fear,neutral
4951,said eventually brings sugar contains said ends making feel groggy gives tummy ache also guilt feel afterwards,sadness,neutral
4952,feel beaten,sadness,neutral
4953,try make anyone feel uncomfortable,fear,negative
4954,feel like take world even says wont afraid discouraged,fear,negative
4955,spend life condemning others feel wronged people yet consequences strangely bitter,anger,negative
4956,feel utterly dismayed favourite lloyd grossman product ditched,sadness,neutral
4957,bogged feelings unloved ends making feel worthy love showered upon feel love joy feel deep within unworthy,sadness,positive
4958,feel welcomed,joy,neutral
4959,feel louis vuitton took court instance ebay cannot buy fake lv anymore well purpose,sadness,negative
4960,want passed away feeling good brother grandparents,joy,positive
4961,im feeling lately vulnerable impressionable little emotional,fear,negative
4962,asked anyone ever confessed feelings someone got accepted rejected,joy,neutral
4963,ive tried tried every single person hang feel like everything fake,sadness,negative
4964,im stuck feeling hopeless time,sadness,neutral
4965,im feeling hesitant put much else words,fear,positive
4966,feel horrible wanting sonipro amp source geekparty linkedin target blank title share tumblr rel nofollow href http www,sadness,negative
4967,started feel fine sleep wouldnt come,joy,positive
4968,feel like im loving even im working appreciate every snuggle feeding little since miss much im gone,love,positive
4969,tell little much hate feeling needy hate moment know ive become attached head,sadness,negative
4970,feel like ive hated series lot since ive started blogging little honesty order,sadness,negative
4971,trusted mike deeply personal information feelings delighted seeing trust rewarded pragmatic advice practical outcomes,joy,positive
4972,feel pretty relieved psyched actually got see something penn said members production team sifted mounds trash pulling boxes games atari products,joy,positive
4973,feel longer things look cool,joy,positive
4974,ive always giver taker feel selfish considering idea,anger,negative
4975,feel adventurous willing take risks img src http cdn,joy,positive
4976,left feeling numb shaky,sadness,negative
4977,could continue feeling awful crying friends focus wronged end feeling worse,sadness,negative
4978,feel honored grateful wonderful people entrusted us beautiful boy son,joy,positive
4979,feel apprehensive opening blue door,fear,neutral
4980,wander depths markets feeling curious,surprise,negative
4981,im going gush much relationship know im feeling content days,joy,positive
4982,feel humiliated choose believe somehow janis sanders see words know cannot get away abusing others,sadness,neutral
4983,feel completely worthless,sadness,negative
4984,feel remorseful ready die look mirror,sadness,positive
4985,definetly need feeling quite lethargic,sadness,neutral
4986,im feeling determined face facts gander donut href http,joy,neutral
4987,feel little bashful,fear,negative
4988,feel assured bet know relate,joy,neutral
4989,feel frustrated sometimes mac lipsticks read names open select shade,anger,negative
4990,fit never despite fact gave option would still choose outsider combined lack creativity originality dare say utter conformity student body makes feel depressed,sadness,positive
4991,feel unpleasant time long,sadness,negative
4992,think finally articulate prius shiny happy al gore wearing patagonia alaska way somewhat insidious makes driving feel like virtuous act,joy,positive
4993,im feeling much optimistic coming en route,joy,positive
4994,dont know easier mental illness watch someone love battle today think hardest thing feeling helpless stop,sadness,positive
